том;id;номер;часть;страница С;страница ДО;язык;автор 1;исходное автор;название статьи;исходное название статьи
1;;;;2;-;ru;Н. Н. Парфентьев;;Научная характеристика академика В. А. Стеклова;
1;;;;14;-;ru;Д. Д. Мордухай-Болтовский;;Об интегрировании в конечном виде дифференциальных биномов в случае ирроциональных показателей;
1;;;;26;-;ru;Н. Г. Чеботарев;;К задаче нахождения алгебраических уравнений с наперед заданной группой;
1;;;;33;-;ru;Б. М. Гагаев;;Обобщение формулы Фурье;
1;;;;41;-;ru;Б. М. Гагаев;;О порядке приближения выражения функций с помощью собственных функций;
1;;;;49;-;ru;Н. Г. Четаев;;Об устойчивых фигурах равновесия некоторой однородной массы вращающейся жидкости под действием сил лучистого сжатия к центру тяжести;
1;;;;95;-;ru;В. А. Малеев;;О группых решений уравнений x^(3n)+y^(3n)+z^(3n)-3x^ny^nz^n=0 по модулю, предстовляющему степень простого делителя выражений: x^2-yz,y^2-xz,z^2-xy;
1;;;;107;-;ru;Е. Н. Аравийская;;О линейных соотнощениях между показателями степеней в сравнениях g^i+g^u_i=1 (mod p);
1;;;;115;-;ru;М. К. Куренский;;Преобразование дифф. Ур-ий Euler'a в задаче о 3 телах на одной прямой и случаи интегрируемости ур-ий этой задачи;
1;;;;119;-;ru;А. Д. Гольдгаммер;;Опыт теории закалки кварца;
1;;;;123;-;ru;П. А. Широков;;Исследование тензорного дифферен. Ур-ия D_iD_kD_i*/phi=0 для Riemann'овых пространств;
1;;;;135;-;ru;П. А. Широков;;О параллельном переносе векторов в неевклидовых пространствах постоянной кривизны;
1;;;;146;-;ru;Н. Г. Чеботарев;;"Поправка к моей статье: "" О методе исключения переменных из трансцендентных ур-ий""  (Изв. Каз. Физ.-Мат. Об-ва, т.24, сер.2, вып. 1, стр. 1-6)";
1;;;;149;-;ru;Б. М. Гагаев;;К теории симметрического ядра;
1;;;;153;-;ru;А. Д. Гольдгаммер;;К вопросу об электропроводности кварца;
